id,message
103120159374,"I wouldn’t say I ever walked away, rather, I walked TOWARD the Conservative party. Ever since I was old enough to vote, I never actually took the initiative to vote because in my mind I thought that ALL politicians are liars and they never actually mean what they say. That all changed after I seen the liberals’ reaction to Donald Trump winning against Clinton. People started burning flags, running in the middle of busy freeways and destroying public property all in the name of a “protest”. Granted, I didn’t vote for Trump or Clinton for that matter but I had enough sense to know that the liberal majority’s response to Trumps victory wasn’t making America better but worst which I knew was in complete contradiction to the idea of voting. So I got on my Facebook page and I was very neutral because once again, I was ignorant to the political game but I said something like “if u don’t like Donald Trump that’s okay but he won fair and square and burning buildings and burning flags isn’t going to change anything.” Once I posted that I got a bunch of hate mail from my friends that were apparently liberals saying I was a racist, bigot and so on and cussing me out. It just to me made the liberals seem more ignorant than I originally thought they were because instead of talking to me like educated people they wanted to cuss me out while calling me every name on the book. It was after this, I did my OWN research regarding BOTH parties because as a CHRISTIAN man if I was going to enter the political arena I was going to back the one that stands for righteousness. After doing my research, I found that the democrats are not only ignorant but also fatal to America. Now, I try to reason with those believing the lies of the demo rating party and I have even written CHRISTIAN hip hop music to express the dangers of the lies of the democrats. Thank you for anybody who took the time to read this. GOD BLESS EVERYBODY #prayingforthecountryilove"
102832483103,"My sister invited me to join because she knew I was feeling defeated seeing all of the insanity going on in our country. I have always been conservative. I have always voted republican and finally began voting straight ticket about 20 years ago when I realized there would never be a democrat that would ever align with my beliefs. I grew up in a predominately black town so always had black friends. We spent the night with each other. And this was in the 70’s when it wasn’t the “woke” thing to do. I was just raised by amazing Christian parents who simply loved everyone. As an adult I have always treated everyone with respect and never looked at skin color. I volunteer with a homeless ministry - and we equally serve everyone. I sponsor 4 children in Holeta, Ethiopia. I have clients of all races and treat everyone equally. I have black family members. I have never said or acted in any way that could be construed as racist. However apparently I am a racist! Who knew?? I remember the first time I was called a racist. I was 47 years old and a “friend” in the animal rescue community, actually the person that I first fostered dogs for, blatantly called me a racist because I didn’t like Obama. I was stunned and heart broken. This friend literally said the most vile, hateful and heart-wrenching things to me simply because I thought he was a horrible president and leader with detrimental policies. Why, when someone is black, has it become taboo to disagree with them? Why is it perfectly acceptable to call every single white person racist and privileged? Why have we come to a place where racism is perfectly ok as long as it is directed against white people? How have we come to a point where it is believed only white people are capable of racism? Where has our country gone? I am so thankful to see there are so many people waking up and walking away from the insanity. You all give me hope. I am still concerned Biden will win this election - it is actually a bit terrifying how close we are to the collapse of our great nation. I actually was not a Trump fan, in fact I didn’t like him much at all. But I voted for him in 2016 because the other choice was unthinkable. However I have been pleasantly suprised. He has made me eat my words. He has turned out to be a great leader, even amidst the evil directed at him from the left. I may have voted for him with trepidation the first time but I will skip to the voting booth to vote for him this time. But...we can all expect the left to explode in fury when that happens. But it must happen if we hope to preserve our nation. I have grandchildren depending on us to save and secure their future. Thanks again for the encouragement I receive from reading your stories. We must keep speaking truth because apparently you all are proof some people are willing to listen."
103093650132,"I Consider myself moderate by definition and unpolitical, it’s not a high priority to me but there are too many acts of terrorism being done by Democratic Party and I have a duty to stand against terrorism and support the police and president in restoring our country. The alternative is to support chaos and mob rule. When I heard that ppl tore down the Columbus statue I was upset because it means something to this country. I try to imagine what America would look like if they torched Lady Liberty 🗽 and I can’t imagine it. It’s such a part of this country. Many ppl are upset and they help to build this country. There’s a lot of things I don’t support and that’s why I walk away from Democrat and lean right. Enough is enough. I’m Voting for Trump."
102515465350,"I not a writer but her it goes. I grew up in a small town in southern Missouri to two parents that worked hard to raise 2 kids. We didn't have much ,but had everything we needed . My grandmother was a die hard Democrats that raised a family during the depression and wouldn't have voted for a Republican if it would save her life. My dad was the same way. I myself always voted for the candidate instead of the party so sometimes I disagree with my dad. I voted for Obama the first round as I wasn't happy with Bush and I believed hope and change. In about his third year I realized he was a fraud and wasn't changing anything or give any hope. When he won a second term as I Seen it he put into play the total destruction of our health care system and the way employers hire worker because health care skyrocketed which employers respond by working people part with no benefits and it's only got worse ever since. I've set here the last 5 years through the democratic process they have implemented to destroy America to gain the power back at any cost. It is total disgusting to watch them and the media ( Facebook , Twitter, and all the news and news papers) doing everything to get Trump out at ALL COST to the American people. Now I will address BLM Thing .I don't believe in blm because all American lives matter from the homeless, drug addicts, veterans, aborted children everyone. There are people of every nationality kill by people of all nationalities every day in this country and no one life is above the other,every life is important. Democrats are fueling the destruction to gain the upper hand against Trump at any cost to America. I've never felt like I was ever better than a black person as I just never was around many to understand them. Slavery was wrong and their are many injustices that happen is this word to alot of people. I've seen racism in people of all nationalities not just whites and I would be will to bet the 100% have shown racism towards someone even though they try hard not to and know it's wrong .we all have sin and come short of the glory of God and that's why we have forgiveness. I hate what's going on in this country to the point that I feel hopeless to change anything, I'm angry and disgusted that i want to WALKAWAY from everything. My soul hurts for America like it's my hope dying. If we don't come together as Americans !!! Not black Americans !!! Not white Americans but as Americans this country is doomed. I've rambled on enough and I hope it makes sense to everyone. If I've offered anyone it's not my intention. Please can we heal this country."
102044835678,"My WalkAway story is a bit different... I was always a non-voter with no favorite party. I was bitter toward Lyndon Johnson after I returned from Vietnam. I disliked him and all politicians equally. I had no desire to get involved with the political process. Election after election, I sat back and watched, not really caring who became president. But in the back of my mind, I couldn't help but notice that life in America seemed to degrade when a democrat was in office, and then rejuvenate when a Republican was sworn in. I still refrained from registering to vote. I began to get a sense of involvement in 1992 when Bill Clinton was elected. For the first time since LBJ, I actually despised the president. I nearly registered to vote but didn't. Emotions began to churn inside me when Obama was elected. For eight years I watched as he practically destroyed America. I began reading history books and doing research on the democratic party. I was appalled when I learned that they had created the Ku Klux Klan for the singular purpose of preventing black voters from voting for Grant. I began despising the Democratic party, but not enough to compel me to register to vote. It wasn't until Hillary Clinton announced her bid for the White House that I made the decision. Not only did I register to vote, I declared myself a Republican. I would do anything to keep that traitor out of the Presidents chair. I began watching the debates with earnest. I wasn't a big Trump supporter at this time, but just wanted to get the best Republican to beat Hillary. When all the primaries were completed, and Donald Trump became the candidate, I threw in my support. I had no idea how he would to as president, but I knew we would be better off with him than with Clinton. It didn't take long after the inauguration for me to see what a great leader he is for our country. He now has my unwavering support, and I am a republican for life. Trump 2020"
101958656715,"I am proud of myself for joining this group. I also feel like I peed on the Pope and the whole world witnessed it. 🤣 I am a registered Democrat, but it doesn't feel like the same party it was when I signed up. I want social justice, but I also know that rioting and destroying property isn't the way to do it. And I also fully support law enforcement. I am tired of people treating others badly. I feel like some people in my own party shut me down or shut me out when I try to see things from a different perspective. My boyfriend teaches me a lot and shows me the side of the Republican party that I haven't seen, which is that it is willing to listen to what others have to say. And it has a heart too, and that matters a lot to me. I want to do what I thought the Democratic party was about and believe that most people want to do good and be part of something good. I am glad that I am realizing that the Republican party wants that too."
101860222988,"I’ve typed and deleted this 100 times. Trying to decide if I wanted to share my story or not. So, here it is. I apologize if I’m rambling lol. I’ve spent the majority of my life avoiding politics. I registered to vote when I was 18 (1999) but didn’t vote until Obama’s first run. I wanted change. I believed in his slogan. Obama would bring us all together! We were poor growing up. The same as our parents, grandparents, and great grandparents. We were told by educators that it was a waste of their time to even try to teach us. We would never amount to anything. Education was geared towards the kids that had come from affluent families. Not the kids that had come from broken homes, from the wrong side of the tracks. Especially not the ones raised in a same sex home. Society made sure I knew how unimportant I would be. I had no interest in a system that had no interest in me. I became angry, bitter and sad. I could have easily slipped through the cracks... but I refused. My grandfather and father had fought for this country. I’d be damned if I wasn’t going to fight for my place in it. I made the decision to make a better life for myself, and eventually my children. I made it. I built that life. I wanted nothing more than to build a better America for people like myself. The abused, neglected, poor, uneducated, hopeless ones! Because this is truly the land of opportunity if you’re willing to work for it! That promised change never came though. Instead of building together, we were shattered as a nation. The fragments divided by class, by race, by religion. Let down yet again. Politicians are liars. They tell people what they want to hear, while hiding their real agendas behind pretty words and empty promises. I’d never vote again... Until Donald Trump, much to my surprise. I saw a man (not a perfect man) that loves this country and would do what it takes to make it great. He’s certainly not a politician. Pretty words are definitely not his specialty but the hard truth is. This man has taken more criticism and ridicule than any other president but he continues to try to do what’s best for the United States. He’s my president and I am proud to vote for him again. Trump 2020."
101731996743,"Thank you for accepting me to this group. I love all of the positivity and everyone’s stories of them waking! I don’t have a great story as some of you do. I’m ashamed that I used to vote democrat and thought that was the only way to vote. I wasn’t raised in a political or conservative family. Actually politics weren’t really discussed in my family. I did vote for Obama for his first term. 😢 it was then I woke up and started seeing the corruption and divide that was happening. I did not like to talk politics to anyone, I did not want any confrontation. That is not me anymore! I’m proud to vote replubican and love President Donald Trump! He is trying so hard for our country and has done great despite constantly trying to be knocked down time and time again!"
101545614907,"Before Trump Vs. Hillary, I was never into politics. I felt like my vote didn't matter and politics were a pay and play game that I just wasn't going to get invested in. When I heard Trump was running for President I thought it was a big joke. A publicity stunt. Then as I began to investigate the awful things I heard about Hillary Clinton, I was forced withen myself to take a look at both of them. The more I learned about both of them, the more I realized what a truly compassionate man Trump was. I also learned what a truly evil woman Hillary was. I am a mother to 5 beautiful children and grandmother to 8 amazing grandbabies and counting. I realized I had to become invested after really looking into both Trump and Clinton. It was the fact that if Hillary became President, I would see pure evil in charge of the future for my children and grandchildren. I couldn't sit and stomach the thought of such corruption continuing to plague America. So I became invested and outspoken for Trump. I thank God he became President! Now, faced with Biden as our potential President, I am disgusted at the very thought. Biden has been in politics my whole life. Was vice President for 8 years and has done not one upstanding thing for our country. In fact, I am 100% sure that if Biden wins, within 6 months he will step down because he is not mentally capable to run this country. So, this is all a power grab for whomever he chooses as VP. His potential running mates are all disgusting woman just like Clinton. In my opinion, this is a fight of good vs. evil. The Democrats have become so far left and unhinged, they would rather destroy our country than heal it. Watching the lies they spew openly is just something I never thought politicians would do...yet they are. The divide the have created and fueled leaves me in fear for my children and grandchildren. Trump is a truly selfless man that loves Americans of all colors, races and religions. His track record proves it. Biden is a racist and disgusting pervert, his track record proves it. We haven't heard anything about the women that charged Biden with sexual assault anymore...swept under the rug. Just seeing how the Democrats get away with everything they accuse the Republicans of is proof enough that they will continue to get away with worse if given the chance. I am proud to say that my children all support our wonderful President Trump! I will forever be ""woke"" to the fact that we all need to be invested in voting and calling out the evil doings of all politicians and demand that they work for ""We the people"" instead of making hundreds of millions in office from dark bribes. Proud to be a staunch Republican! I now vote because my eyes have been opened wide to what will happen if we don't. God bless Trump! I hope Candace Owens will run for President in the future as well! We need to put trust back into our politics...and the only way to do that is to remove the career politicians, like Biden, that have done nothing but hurt America! #Trump2020 let's keep making America greater with a great leader!"
101195333937,"I feel blessed to be among this group of Americans. It is encouraging to see so many show their love and support for this country. So my story is not too far from most here... I grew up in a democratic liberal house. My mother is 2nd generation Italian and my father is first generation Mulism Iranian. My dad moved here before the Revolution and has become an American citizen. He has remarried and Iranian who has also become an American citizen. I never really followed politics too closely until watching Obama. Little by little I watched and read more. Even though trying to watch ""real news"" I was seeing more and more hypocrisies. I voted for Trump as he was the ""anti politician"" after these past years I went from a Trump voter to a Trump supporter. America is amazing but not perfect, only God is. So since we are only human we need to stand together. I pray that some eyes are opened and not fall into the leftist trap. Pro USA Pro constitution Pro freedom Pro police Pro life( all life ) Pro Trump"
